23,66,0,2.05E-19,1.31E-19
24,66,0,2.41E-14,1.54E-14
25,66,0,7.20E-12,4.61E-12
26,66,0,3.76E-10,2.41E-10
27,66,0,2.81E-10,1.80E-10
28,66,0,5.78E-11,3.70E-11
29,66,0,1.43E-13,9.15E-14
30,66,0,0,0
31,66,0,0,0
32,66,0,0,0
24,67,0,0,0
25,67,0,5.38E-12,3.44E-12
26,67,0,6.87E-10,4.40E-10
27,67,0,2.00E-09,1.28E-09
28,67,0,9.04E-10,5.79E-10
29,67,0,9.68E-12,6.19E-12
30,67,0,0,0
31,67,0,0,0
32,67,0,0,0
24,68,0,0,0
25,68,0,6.66E-13,4.26E-13
26,68,0,3.92E-10,2.51E-10
27,68,0,2.47E-09,1.58E-09
28,68,0,4.19E-09,2.68E-09
29,68,0,3.15E-11,2.02E-11
29,68,1,7.36E-11,4.71E-11
30,68,0,4.74E-13,3.03E-13
31,68,0,0,0
32,68,0,0,0
24,69,0,2.11E-18,1.35E-18
25,69,0,8.03E-14,5.14E-14
26,69,0,1.22E-10,7.81E-11
27,69,0,3.25E-09,2.08E-09
28,69,0,1.12E-08,7.17E-09
29,69,0,1.14E-09,7.30E-10
30,69,0,2.48E-12,1.59E-12
30,69,1,1.06E-11,6.78E-12
31,69,0,0,0
32,69,0,0,0
33,69,0,0,0
24,70,0,0,0
25,70,0,0,0
26,70,0,3.24E-11,2.07E-11
27,70,0,2.09E-09,1.34E-09
28,70,0,2.78E-08,1.78E-08
29,70,0,1.49E-09,9.54E-10
29,70,1,4.46E-09,2.85E-09
30,70,0,3.03E-10,1.94E-10
31,70,0,1.47E-13,9.41E-14
32,70,0,0,0
25,71,0,0,0
26,71,0,4.92E-12,3.15E-12
27,71,0,1.48E-09,9.47E-10
28,71,0,4.35E-08,2.78E-08
29,71,0,3.48E-08,2.23E-08
30,71,0,7.71E-10,4.93E-10
30,71,1,3.29E-09,2.11E-09
31,71,0,9.39E-12,6.01E-12
32,71,0,0,0
32,71,1,0,0
33,71,0,0,0
25,72,0,6.08E-18,3.89E-18
26,72,0,7.15E-13,4.58E-13
27,72,0,5.80E-10,3.71E-10
28,72,0,7.60E-08,4.86E-08
29,72,0,1.27E-07,8.13E-08
30,72,0,6.10E-08,3.90E-08
31,72,1,1.93E-10,1.24E-10
31,72,0,1.93E-10,1.24E-10
32,72,0,3.64E-13,2.33E-13
33,72,0,0,0
34,72,0,0,0
25,73,0,6.41E-19,4.10E-19
26,73,0,5.54E-14,3.55E-14
27,73,0,2.21E-10,1.41E-10
28,73,0,7.13E-08,4.56E-08
29,73,0,4.71E-07,3.01E-07
30,73,0,4.63E-07,2.96E-07
31,73,0,1.21E-08,7.74E-09
32,73,0,2.38E-11,1.52E-11
32,73,1,5.59E-12,3.58E-12
33,73,0,0,0
34,73,0,0,0
34,73,1,0,0
26,74,0,0,0
27,74,0,3.00E-11,1.92E-11
28,74,0,4.58E-08,2.93E-08
29,74,0,6.82E-07,4.36E-07
30,74,0,2.51E-06,1.61E-06
31,74,1,7.30E-08,4.67E-08
31,74,0,7.30E-08,4.67E-08
32,74,0,1.67E-09,1.07E-09
33,74,0,4.99E-14,3.19E-14
33,74,1,1.16E-13,7.42E-14
34,74,0,0,0
26,75,0,1.00E-16,6.40E-17
27,75,0,3.81E-12,2.44E-12
28,75,0,1.53E-08,9.79E-09
29,75,0,1.01E-06,6.46E-07
30,75,0,7.67E-06,4.91E-06
31,75,0,1.93E-06,1.24E-06
32,75,0,6.81E-09,4.36E-09
32,75,1,4.56E-08,2.92E-08
33,75,0,2.56E-11,1.64E-11
34,75,0,0,0
35,75,0,0,0
26,76,0,0,0
27,76,0,2.53E-13,1.62E-13
28,76,0,5.02E-09,3.21E-09
29,76,0,8.28E-07,5.30E-07
30,76,0,1.84E-05,1.18E-05
31,76,0,1.05E-05,6.69E-06
32,76,0,1.30E-06,8.32E-07
33,76,0,1.65E-09,1.06E-09
34,76,0,3.04E-13,1.95E-13
27,77,0,6.53E-15,4.18E-15
28,77,0,5.64E-10,3.61E-10
29,77,0,4.45E-07,2.85E-07
30,77,0,3.14E-05,2.01E-05
31,77,0,4.08E-05,2.61E-05
32,77,0,5.96E-06,3.81E-06
32,77,1,8.91E-07,5.70E-07
33,77,0,4.31E-08,2.76E-08
34,77,0,2.75E-12,1.76E-12
34,77,1,1.84E-11,1.18E-11
35,77,0,0,0
35,77,1,0,0
36,77,0,0,0
27,78,0,4.28E-16,2.74E-16
28,78,0,5.03E-11,3.22E-11
29,78,0,1.09E-07,6.98E-08
30,78,0,3.56E-05,2.28E-05
31,78,0,0.000102813,6.58E-05
32,78,0,6.94E-05,4.44E-05
33,78,0,1.30E-06,2.99E-07
34,78,0,2.47E-09,1.58E-09
35,78,0,4.94E-14,3.16E-14
36,78,0,0,0
29,79,0,0,0
30,79,0,1.64E-05,7.37E-06
31,79,0,0.000171078,1.88E-05
32,79,1,0.000116247,7.44E-05
32,79,0,0.000116247,7.44E-05
33,79,0,2.66E-05,1.20E-05
34,79,0,1.10E-07,7.04E-08
34,79,1,1.65E-08,1.06E-08
35,79,0,3.11E-12,1.99E-12
35,79,1,1.04E-11,6.66E-12
36,79,1,0,0
36,79,0,0,0
37,79,0,0,0
28,80,0,1.56E-14,9.98E-15
29,80,0,5.25E-10,3.36E-10
30,80,0,2.42E-06,1.55E-06
31,80,0,0.000117062,1.87E-05
32,80,0,0.00101818,4.07E-05
33,80,0,0.00013695,8.76E-05
34,80,0,4.89E-06,3.13E-06
35,80,0,3.71E-10,2.37E-10
35,80,1,1.11E-09,7.10E-10
36,80,0,6.25E-14,4.00E-14
29,81,0,0,0
30,81,0,0,0
