23,66,0,4.48E-18,2.87E-18
24,66,0,4.03E-13,2.58E-13
25,66,0,9.44E-11,6.04E-11
26,66,0,3.95E-09,2.53E-09
27,66,0,2.69E-09,1.72E-09
28,66,0,4.95E-10,3.17E-10
29,66,0,1.13E-12,7.23E-13
30,66,0,0,0
31,66,0,0,0
32,66,0,0,0
23,67,0,7.34E-19,4.70E-19
24,67,0,4.88E-14,3.12E-14
25,67,0,5.31E-11,3.40E-11
26,67,0,5.14E-09,3.29E-09
27,67,0,1.30E-08,8.32E-09
28,67,0,5.03E-09,3.22E-09
29,67,0,5.08E-11,3.25E-11
30,67,0,4.54E-14,2.91E-14
31,67,0,0,0
32,67,0,0,0
24,68,0,0,0
25,68,0,6.66E-12,4.26E-12
26,68,0,2.85E-09,1.82E-09
27,68,0,1.52E-08,9.73E-09
28,68,0,2.18E-08,1.40E-08
29,68,0,1.37E-10,8.77E-11
29,68,1,3.71E-10,2.37E-10
30,68,0,2.12E-12,1.36E-12
31,68,0,0,0
32,68,0,0,0
24,69,0,2.89E-17,1.85E-17
25,69,0,8.92E-13,5.71E-13
26,69,0,9.57E-10,6.12E-10
27,69,0,2.08E-08,1.33E-08
28,69,0,5.97E-08,3.82E-08
29,69,0,5.57E-09,3.56E-09
30,69,0,9.79E-12,6.27E-12
30,69,1,4.78E-11,3.06E-11
31,69,0,1.08E-14,6.91E-15
32,69,0,0,0
33,69,0,0,0
24,70,0,0,0
25,70,0,5.78E-14,3.70E-14
26,70,0,2.82E-10,1.80E-10
27,70,0,1.39E-08,8.90E-09
28,70,0,1.46E-07,9.34E-08
29,70,0,6.05E-09,3.87E-09
29,70,1,2.15E-08,1.38E-08
30,70,0,1.20E-09,7.68E-10
31,70,0,5.65E-13,3.62E-13
32,70,0,0,0
25,71,0,0,0
26,71,0,5.15E-11,3.30E-11
27,71,0,1.14E-08,7.30E-09
28,71,0,2.57E-07,1.64E-07
29,71,0,1.78E-07,1.14E-07
30,71,0,3.01E-09,1.93E-09
30,71,1,1.47E-08,9.41E-09
31,71,0,3.84E-11,2.46E-11
32,71,0,0,0
32,71,1,0,0
33,71,0,0,0
25,72,0,1.19E-16,7.62E-17
26,72,0,1.07E-11,6.85E-12
27,72,0,6.02E-09,3.85E-09
28,72,0,5.63E-07,3.60E-07
29,72,0,7.83E-07,5.01E-07
30,72,0,3.05E-07,1.95E-07
31,72,1,8.10E-10,5.18E-10
31,72,0,8.10E-10,5.18E-10
32,72,0,1.36E-12,8.70E-13
33,72,0,0,0
34,72,0,0,0
25,73,0,1.25E-17,8.02E-18
26,73,0,8.33E-13,5.33E-13
27,73,0,2.21E-09,1.41E-09
28,73,0,4.95E-07,3.17E-07
29,73,0,2.61E-06,1.67E-06
30,73,0,2.08E-06,1.33E-06
31,73,0,4.75E-08,3.04E-08
32,73,0,8.51E-11,5.45E-11
32,73,1,1.74E-11,1.11E-11
33,73,0,0,0
34,73,0,0,0
34,73,1,0,0
26,74,0,3.49E-14,2.23E-14
27,74,0,2.44E-10,1.56E-10
28,74,0,2.48E-07,1.59E-07
29,74,0,2.87E-06,1.84E-06
30,74,0,8.36E-06,5.35E-06
31,74,1,2.12E-07,1.36E-07
31,74,0,2.12E-07,1.36E-07
32,74,0,4.19E-09,2.68E-09
33,74,0,1.09E-13,6.98E-14
33,74,1,2.95E-13,1.89E-13
34,74,0,0,0
26,75,0,1.11E-15,7.10E-16
27,75,0,3.42E-11,2.19E-11
28,75,0,8.87E-08,5.68E-08
29,75,0,4.36E-06,2.79E-06
30,75,0,2.57E-05,1.65E-05
31,75,0,5.02E-06,3.21E-06
32,75,0,1.44E-08,9.22E-09
32,75,1,1.05E-07,6.72E-08
33,75,0,5.48E-11,3.51E-11
34,75,0,0,0
35,75,0,0,0
26,76,0,0,0
27,76,0,3.53E-12,2.26E-12
28,76,0,4.36E-08,2.79E-08
29,76,0,5.21E-06,3.33E-06
30,76,0,0.000118929,7.61E-05
31,76,0,4.69E-05,3.00E-05
32,76,0,4.71E-06,3.01E-06
33,76,0,5.48E-09,3.51E-09
34,76,0,9.35E-13,5.98E-13
27,77,0,6.13E-14,3.93E-14
28,77,0,4.08E-09,2.61E-09
29,77,0,2.24E-06,1.43E-06
30,77,0,0.000114539,7.33E-05
31,77,0,0.000164999,0.000105599
32,77,0,3.18E-05,2.03E-05
32,77,1,4.33E-06,2.77E-06
33,77,0,1.90E-07,1.22E-07
34,77,0,1.02E-11,6.53E-12
34,77,1,7.48E-11,4.79E-11
35,77,0,0,0
35,77,1,0,0
36,77,0,0,0
27,78,0,2.86E-15,1.83E-15
28,78,0,2.57E-10,1.64E-10
29,78,0,3.75E-07,2.40E-07
30,78,0,8.56E-05,5.48E-05
31,78,0,0.000260628,0.000166802
32,78,0,0.000221128,0.000141522
33,78,0,2.85E-06,1.82E-06
34,78,0,6.21E-09,3.97E-09
35,78,0,1.24E-13,7.94E-14
36,78,0,0,0
28,79,0,1.51E-12,9.68E-13
29,79,0,4.66E-08,2.98E-08
30,79,0,2.62E-05,1.68E-05
31,79,0,0.000315647,0.000202014
32,79,1,0.000268408,0.000171781
32,79,0,0.000268408,0.000171781
33,79,0,2.85E-05,1.82E-05
34,79,0,1.38E-07,8.83E-08
34,79,1,1.88E-08,1.20E-08
35,79,0,3.17E-12,2.03E-12
35,79,1,1.19E-11,7.62E-12
36,79,1,0,0
36,79,0,0,0
37,79,0,0,0
28,80,0,1.28E-13,8.19E-14
29,80,0,2.54E-09,1.63E-09
30,80,0,7.08E-06,4.53E-06
31,80,0,0.000207878,0.000133042
32,80,0,0.00136613,0.000874322
33,80,0,0.000164029,0.000104978
34,80,0,4.27E-06,2.73E-06
35,80,0,2.52E-10,1.61E-10
35,80,1,8.95E-10,5.73E-10
36,80,0,4.31E-14,2.76E-14
28,81,0,3.04E-15,1.94E-15
29,81,0,9.36E-11,5.99E-11
30,81,0,7.24E-07,4.63E-07
31,81,0,9.96E-05,6.38E-05
32,81,0,0.00145985,0.000934302
33,81,0,0.000682804,0.000436995
34,81,0,5.26E-06,3.37E-06
34,81,1,3.86E-05,2.47E-05
35,81,0,5.87E-08,3.76E-08
36,81,0,5.51E-12,3.53E-12
36,81,1,7.52E-13,4.81E-13
37,81,0,0,0
28,82,0,0,0
29,82,0,1.62E-12,1.04E-12
30,82,0,6.44E-08,4.12E-08
31,82,0,2.37E-05,1.52E-05
32,82,0,0.00149917,0.000959467
33,82,0,0.000738834,0.000472854
33,82,1,0.000738834,0.000472854
34,82,0,0.000402097,0.000257342
35,82,0,1.04E-06,6.66E-07
35,82,1,3.85E-07,2.46E-07
36,82,0,7.80E-10,4.99E-10
29,83,0,3.70E-14,2.37E-14
30,83,0,2.46E-09,1.57E-09
31,83,0,4.69E-06,3.00E-06
32,83,0,0.000767733,0.000491349
33,83,0,0.00306922,0.0019643
34,83,0,0.00155948,0.000998065
34,83,1,0.000319477,0.000204465
35,83,0,3.18E-05,2.03E-05
36,83,0,4.13E-08,2.64E-08
36,83,1,8.47E-09,5.42E-09
37,83,0,1.30E-12,8.32E-13
38,83,0,0,0
30,84,0,7.17E-11,4.59E-11
31,84,0,3.83E-07,2.45E-07
32,84,0,0.000300507,0.000192325
33,84,1,0.00137796,0.000881896
33,84,0,0.00137796,0.000881896
34,84,0,0.00594017,0.00190085
35,84,0,8.42E-05,5.39E-05
35,84,1,0.000178918,0.000114508
36,84,0,2.02E-06,1.29E-06
37,84,0,1.49E-10,9.54E-11
38,84,0,0,0
30,85,0,7.24E-13,4.63E-13
31,85,0,2.23E-08,1.43E-08
32,85,0,4.91E-05,3.14E-05
33,85,0,0.00207053,0.00132514
34,85,0,0.00533887,0.00341688
34,85,1,0.0053132,0.00340045
35,85,0,0.00184183,0.00117877
36,85,0,3.09E-05,1.98E-05
36,85,1,6.34E-06,4.06E-06
37,85,0,1.45E-08,9.28E-09
38,85,1,2.16E-13,1.38E-13
38,85,0,2.16E-13,1.38E-13
39,85,0,0,0
30,86,0,0,0
31,86,0,4.85E-10,3.10E-10
32,86,0,5.42E-06,3.47E-06
33,86,0,0.000588585,0.000376694
34,86,0,0.0122675,0.00392561
35,86,0,0.00224876,0.00143921
35,86,1,0.0022429,0.00143546
36,86,0,0.001542,0.000493439
37,86,1,2.19E-07,1.40E-07
37,86,0,2.19E-07,1.40E-07
38,86,0,6.74E-11,4.31E-11
31,87,0,4.75E-12,3.04E-12
32,87,0,3.16E-07,2.02E-07
33,87,0,0.000167579,0.00010725
34,87,0,0.00675035,0.00303766
35,87,0,0.014254,0.00085524
36,87,0,0.00350431,0.000805991
37,87,0,1.33E-05,8.52E-06
38,87,0,4.78E-09,3.06E-09
38,87,1,9.79E-10,6.27E-10
39,87,0,4.03E-14,2.58E-14
40,87,0,0,0
31,88,0,1.54E-13,9.83E-14
32,88,0,1.38E-08,8.83E-09
33,88,0,2.01E-05,1.29E-05
34,88,0,0.00446696,0.00285886
35,88,0,0.0166928,0.00100157
36,88,0,0.0124732,0.00074839
37,88,0,0.000547855,0.000350627
38,88,0,3.64E-07,2.33E-07
39,88,0,7.28E-12,4.66E-12
40,88,0,0,0
32,89,0,6.81E-11,4.36E-11
33,89,0,2.10E-06,1.34E-06
34,89,0,0.00121718,0.000778995
35,89,0,0.0132885,0.00425232
36,89,0,0.0255753,0.00204602
37,89,0,0.00389926,0.00249552
38,89,0,8.32E-06,5.32E-06
39,89,0,1.38E-10,8.83E-11
39,89,1,6.74E-10,4.31E-10
40,89,0,0,0
41,89,0,0,0
32,90,0,3.27E-12,2.09E-12
33,90,0,7.45E-08,4.77E-08
34,90,0,0.000238473,0.000152623
35,90,0,0.00725716,0.000580573
36,90,0,0.0402432,0.00160973
37,90,0,0.00128501,0.000822406
37,90,1,0.00689361,0.00441191
38,90,0,0.000343157,0.000154421
39,90,1,2.29E-08,1.47E-08
39,90,0,2.29E-08,1.47E-08
40,90,1,8.90E-13,5.70E-13
40,90,0,8.90E-13,5.70E-13
41,90,0,0,0
42,90,0,0,0
32,91,0,1.31E-13,8.40E-14
33,91,0,4.04E-09,2.59E-09
34,91,0,9.59E-06,6.13E-06
35,91,0,0.00136232,0.000871884
36,91,0,0.029162,0.00116648
37,91,0,0.0200984,0.00643149
38,91,0,0.0068519,0.00438522
39,91,1,8.60E-07,5.50E-07
39,91,0,8.60E-07,5.50E-07
40,91,0,2.01E-10,1.29E-10
41,91,0,0,0
42,91,0,0,0
33,92,0,6.13E-12,3.92E-12
34,92,0,5.51E-07,3.53E-07
35,92,0,0.000209288,0.000133944
36,92,0,0.0135368,0.00216589
37,92,0,0.0279003,0.00892811
38,92,0,0.0161423,0.00516555
39,92,0,2.90E-05,1.86E-05
40,92,0,1.67E-08,1.07E-08
41,92,0,8.36E-14,5.35E-14
42,92,0,0,0
33,93,0,8.79E-12,5.63E-12
34,93,0,5.85E-07,3.74E-07
35,93,0,0.00064189,0.00041081
36,93,0,0.00305278,0.000244223
37,93,0,0.0340824,0.0013633
38,93,0,0.0214448,0.00235893
39,93,1,0.00103401,0.000661767
39,93,0,0.00103401,0.000661767
40,93,0,4.93E-07,3.16E-07
41,93,0,1.03E-11,6.59E-12
41,93,1,2.12E-12,1.36E-12
42,93,1,0,0
42,93,0,0,0
43,93,0,0,0
34,94,0,1.58E-10,1.01E-10
35,94,0,8.14E-07,5.21E-07
36,94,0,0.000618905,0.000396099
37,94,0,0.0189055,0.00113433
